نماد	p/e	بازار	گروه
زگلدشت	10.42	2	01
زپارس	19.15	1	01
زكشت	31.79	2	01
تليسه	26.35	2	01
زدشت	16.54	2	01
آينده	47.84	4	01
زشگزا	17.66	2	01
زفكا	8.79	2	01
زشريف	27.32	2	01
زقيام	10.83	2	01
آبين	166.51	4	01
زبينا	18.77	2	01
زماهان	20.5	2	01
زمگسا	17.39	1	01
كطبس	13.6	1	10
كپرور	15.61	2	10
كشرق	55.01	2	10
حفاري	13.13	1	11
كدما	55.36	1	13
تكنار	-39.8	4	13
تاصيكو	9.09	1	13
كاما	6.28	1	13
كگل	6.37	1	13
كبافق	230.79	1	13
كمنگنز	8.7	1	13
ومعادن	9.08	1	13
كروي	11.23	1	13
كنور	8.05	1	13
كچاد	5.23	1	13
كماسه	48.02	1	14
نبروج	3.3	1	17
نطرين	15.07	2	17
نمرينو	151.98	1	17
نتوس	-622.44	4	17
نشار	1.09	4	17
وملي	4069.2	1	19
چنوپا	0.09	4	20
چفيبر	-264.92	1	20
چكاوه	-78.37	1	21
چكاپا	11.6	2	21
چكارن	77.72	1	21
چافست	20.77	1	22
شپاس	8.16	2	23
شبندر	4.65	1	23
شرانل	7.37	2	23
ونفت	8.52	1	23
شراز	5.4	2	23
شتران	4.67	1	23
شبهرن	6.82	1	23
شسپا	5.11	1	23
شپنا	3.84	1	23
شبريز	5.49	1	23
شنفت	9.25	1	23
شاوان	7.27	2	23
شزنگ	-92.02	4	23
پارتا	28.16	4	25
پلاست	-4.31	4	25
پسهند	11.09	1	25
پتاير	7.01	1	25
پاسا	8.75	1	25
پكرمان	21.16	1	25
پدرخش	12.97	1	25
پلوله	-0.79	4	25
پشاهن	13.06	4	25
پكوير	80.8	1	25
پلاسك	-19.82	1	25
فسديد	-2.1	4	27
فخوز	4.39	1	27
فسپا	6.46	1	27
فپنتا	31.34	1	27
ذوب	11.59	2	27
فروس	16.96	1	27
فسرب	17.12	1	27
فايرا	4.63	1	27
فرآور	14	1	27
زنگان	76.37	2	27
ميدكو	20.03	2	27
فمراد	-64.77	1	27
كاوه	6.64	1	27
فنفت	30.25	4	27
ارفع	6.38	2	27
فباهنر	6.47	1	27
فاسمين	5.53	1	27
فلوله	1216.56	1	27
فولاژ	5.8	1	27
فسازان	15.8	1	27
فجر	5.28	1	27
فوكا	-39.02	4	27
وتوكا	15.28	1	27
فافزا	23.7	4	27
وسديد	-32.81	4	27
فخاس	21.82	1	27
فولاد	3.69	1	27
كيميا	7.01	2	27
فالوم	-86.61	4	27
فنوال	13.43	1	27
هرمز	7.1	2	27
فولاي	11.26	2	27
فملي	4.91	1	27
فاهواز	-24.71	4	27
فنورد	20.56	1	27
فزرين	13.31	2	27
كوير	5.71	1	27
چدن	5.88	1	28
فجام	16.43	1	28
فجوش	-0.42	4	28
فنرژي	-1.3	4	28
فلامي	10.08	1	28
فبستم	31.59	4	28
فبيرا	10.07	4	28
فاذر	43.84	1	28
فاراك	22.98	1	28
فاما	8.18	1	28
لخانه	29.57	4	29
تكشا	18.76	1	29
لخزر	12.4	1	29
لازما	-57.28	4	29
تكنو	1003.67	1	29
لبوتان	22.61	1	29
